Master Catalog,Identifier,Parent Identifier,Name US,URL keyword,Page title,Meta description,Facet Ordered List,Delete
FALSE,Flame-Detonation-Arrestors,Valves-Actuators-Regulators,Flame and Detonation Arrestors,,Products - Flame and Detonation Arrestors | Emerson,Browse Flame and Detonation Arrestors products,Category | Brand | EMR Industry,
FALSE,Flame-Gas-Detection,Measurement-Instrumentation,Flame and Gas Detection,,Products - Flame and Gas Detection | Emerson,Browse Flame and Gas Detection products,Category | Brand | EMR Industry,
FALSE,Floor-Warming,Indoor-Outdoor-Heating-Cables,Floor Warming,floor-warming,,,,
FALSE,Flow,Measurement-Instrumentation,Flow,,Products - Flow | Emerson,Browse Flow products,Category | Brand | EMR Industry | EMR Instrument Type | EMR Technology Type,
FALSE,Gas-Analysis,Measurement-Instrumentation,Gas Analysis,,Products - Gas Analysis | Emerson,Browse Gas Analysis products,Category | Brand | EMR Industry,
FALSE,General-Lighting,Electrical-Construction-Materials-and-Lighting,General Lighting,general-lighting,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,General-Purpose-&amp;-Hand-Tools,Construction-Plumbing-Tools,General Purpose &#38; Hand Tools,,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,General-Purpose-and-Hand-Tools,Construction-Plumbing-Tools,General Purpose &#38; Hand Tools,general-purpose-and-hand-tools,,,,
FALSE,Generators-&amp;-Pressure-Washers,Construction-Plumbing-Tools,Generators &#38; Pressure Washers,,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Hermetic-Solutions,Sensing-and-Protection-Devices,Hermetic Solutions,hermetic-solutions,,,,
FALSE,Hot-Plate-Welding,Precision-Welding-Cleaning,Hot Plate Welding,,Products - Hot Plate Welding|Emerson,Browse Hot Plate Welding products,Category | Brand | EMR Industry | EMR Segment | EMR Working Area Dimensions,
FALSE,Industrial-Heat-Tracing,Valves-Actuators-Regulators,Industrial Heat Tracing,industrial-heat-tracing,Products - Industrial Heat Tracing|Emerson,Browse Industrial Heat Tracing products,Category | Brand | EMR Industry,
FALSE,Industrial-Refrigeration,Refrigeration,Industrial Refrigeration,industrial-refrigeration,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Industrial-Refrigeration-Compressors,Refrigeration,Industrial Refrigeration Compressors,industrial-refrigeration-compressors,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Industrial-Refrigeration-Genuine-Parts,Refrigeration,Industrial Refrigeration Genuine Parts,industrial-refrigeration-genuine-parts,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Infrared-Welding,Precision-Welding-Cleaning,Infrared Welding,infrared-welding,Products - Infrared Welding|Emerson,Browse Infrared Welding products,Category | Brand | EMR Industry | EMR Segment,
FALSE,Isolation-Shut-off-Valves,Valves-Actuators-Regulators,Isolation and Shut off Valves,,Products - Isolation and Shut off Valves | Emerson,Browse Isolation and Shut off Valves products,Category | Brand | EMR Valve Type | EMR Industry | EMR Application | EMR Material | EMR Standards | EMR Pressure Class | EMR Certifications | EMR Body Design | EMR Operating Temperature | EMR Shutoff Class | EMR Power Source | EMR Stem | EMR Seat Seal Type | EMR Bore | EMR Style | EMR Media | EMR Max Outlet Pressure | EMR Valve Size | EMR Valve Size Standard,
FALSE,Junction-Boxes,Electrical-Construction-Materials-and-Lighting,Junction Boxes,junction-boxes,,,Category | EMR Product Family | EMR Platform | Brand | EMR Industry,
FALSE,Laboratory-Equipment,Precision-Welding-Cleaning,Laboratory Equipment,,Products - Laboratory Equipment|Emerson,Browse Laboratory Equipment products,Category | Brand | EMR Industry | EMR Segment,
FALSE,Laser-Welding,Precision-Welding-Cleaning,Laser Welding,,Products - Laser Welding|Emerson,Browse Laser Welding products,Category | Brand | EMR Industry | EMR Segment | EMR Output Power | EMR Working Area Dimensions,
FALSE,Level,Measurement-Instrumentation,Level,,Products - Level | Emerson,Browse Level products,Category | Brand | EMR Industry,
FALSE,Lighting,Electrical-Components-Lighting,Lighting,lighting,Products - Lighting|Emerson,Browse Lighting products,Category | Brand | EMR Industry,
FALSE,Liquid-Analysis,Measurement-Instrumentation,Liquid Analysis,liquid-analysis,Products - Liquid Analysis | Emerson,Browse Liquid Analysis products,Category | Brand | EMR Industry,
FALSE,Machinery-Health-Management,Asset-Reliability,Machinery Health Management,,Products - Machinery Health Management | Emerson,Browse Machinery Health Management products,Category | Brand | EMR Industry,
